#SUSTANTIVES

m�quina_de_coser m�quina_de_coser NFMS000 I
la_xata_la_rifa la_xata_la_rifa NFMS000 I
nin_pies_nin_cabeza nin_pies_nin_cabeza NCMS000 I
pies_nin_cabeza pies_nin_cabeza NCMS000 I
a_dos_enriba a_dos_enriba NCMS000 I
a_les_siegues a_les_siegues NCMS000 I
a_más a_más NCMS000 I
<abeya>_<maestra> abeya_maestra NCFS000 I
<abeya>_reina abeya_reina NCFS000 I 
<abogáu>_de_caleyes abogáu_de_caleyes NCMS000 I
<abogáu>_del_diañu abogáu_del_diañu NCMS000 I
<acentu>_<circunflexu> acentu_circunflexu NCMS000 I
<acentu>_<grave> acentu_grave NCMS000 I
<actu>_de_presencia actu_de_presencia NCMS000 I
afuega'l_pitu afuega'l_pitu NCMS000 I
agua_de_la_colariza agua_de_la_colariza NCMS000 I
agua_la_colariza agua_la_colariza NCMS000 I
agua_corriente agua_corriente NCMS000 I
agua_d'alicornia agua_d'alicornia NCMS000 I
agua_del_cuernu agua_del_cuernu NCMS000 I
agua_pesao agua_pesao NCMS000 I
agües_enllenes agües_enllenes NCMS000 I
agües_roxes agües_roxes NCMS000 I
agües_vertientes agües_vertientes NCMS000 I
águila_cabritera águila_cabritera NCFS000 I
águila_negra águila_negra NCFS000 I
aguya_del_paladar aguya_del_paladar NCFS000 I
aire_les_casteñes aire_les_casteñes NCMS000 I
aire_de_les_casteñes aire_de_les_casteñes NCMS000 I
al_cintu al_cintu NCMS000 I
al_llueu al_llueu NCMS000 I
ala_esperta ala_esperta NCMS000 I
ala_esperta_d'un_teyáu ala_esperta_d'un_teyáu NCMS000 I
álamu_chopu álamu_chopu NCMS000 I
alfalfa_montés alfalfa_montés NCFS000 I
alma_de_Dios alma_de_Dios NCFS000 I
alma_en_pena alma_en_pena NCFS000 I
alma_nacida alma_nacida NCFS000 I
alta_mar alta_mar NCMS000 I
alta_sociedá alta_sociedá NCFS000 I
ama_de_cría ama_de_cría NCFS000 I
ama_de_llaves ama_de_llaves NCFS000 I
ama_de_lleche ama_de_lleche NCFS000 I
americanu_del_pote americanu_del_pote NCMS000 I
amor_propiu amor_propiu NCMS000 I
andarica_de_calume andarica_de_calume NCFS000 I
